日期,造船板价格,城市
2010/7/26,4600,上海
2010/7/27,4600,上海
2010/7/28,4600,上海
2010/7/29,4650,上海
2010/7/30,4650,上海
2010/8/2,4700,上海
2010/8/3,4700,上海
2010/8/4,4700,上海
2010/8/5,4700,上海
2010/8/6,4700,上海
2010/8/9,4700,上海
2010/8/10,4700,上海
2010/8/11,4700,上海
2010/8/12,4700,上海
2010/8/13,4700,上海
2010/8/16,4700,上海
2010/8/17,4700,上海
2010/8/18,4700,上海
2010/8/19,4700,上海
2010/8/20,4700,上海
2010/8/23,4700,上海
2010/8/24,4700,上海
2010/8/25,4700,上海
2010/8/26,4700,上海
2010/8/27,4700,上海
2010/8/30,4700,上海
2010/8/31,4700,上海
2010/9/1,4700,上海
2010/9/2,4700,上海
2010/9/3,4700,上海
2010/9/6,4750,上海
2010/9/7,4800,上海
2010/9/8,4800,上海
2010/9/9,4800,上海
2010/9/10,4800,上海
2010/9/13,4800,上海
2010/9/14,4800,上海
2010/9/15,4800,上海
2010/9/16,4800,上海
2010/9/17,4800,上海
2010/9/19,4800,上海
2010/9/20,4800,上海
2010/9/21,4800,上海
2010/9/23,4800,上海
2010/9/24,4800,上海
2010/9/25,4800,上海
2010/9/26,4800,上海
2010/9/27,4800,上海
2010/9/28,4800,上海
2010/9/29,4800,上海
2010/9/30,4800,上海
2010/10/8,4800,上海
2010/10/9,4800,上海
2010/10/11,4850,上海
2010/10/12,4850,上海
2010/10/13,4850,上海
2010/10/14,4850,上海
2010/10/15,4850,上海
2010/10/18,4850,上海
2010/10/19,4850,上海
2010/10/20,4850,上海
2010/10/21,4850,上海
2010/10/22,4850,上海
2010/10/25,4850,上海
2010/10/26,4850,上海
2010/10/27,4850,上海
2010/10/28,4850,上海
2010/10/29,4850,上海
2010/11/1,4850,上海
2010/11/2,4850,上海
2010/11/3,4850,上海
2010/11/4,4850,上海
2010/11/5,4850,上海
2010/11/8,4850,上海
2010/11/9,4880,上海
2010/11/10,4900,上海
2010/11/11,4900,上海
2010/11/12,4900,上海
2010/11/15,4900,上海
2010/11/16,4900,上海
2010/11/17,4900,上海
2010/11/18,4900,上海
2010/11/19,4900,上海
2010/11/22,4900,上海
2010/11/23,4900,上海
2010/11/24,4900,上海
2010/11/25,4900,上海
2010/11/26,4900,上海
2010/11/29,4900,上海
2010/11/30,4900,上海
2010/12/1,4900,上海
2010/12/2,4900,上海
2010/12/3,4900,上海
2010/12/6,4900,上海
2010/12/7,4900,上海
2010/12/8,4900,上海
2010/12/9,4900,上海
2010/12/10,4900,上海
2010/12/13,4900,上海
2010/12/14,4900,上海
2010/12/15,4900,上海
2010/12/16,4900,上海
2010/12/17,4950,上海
2010/12/20,4950,上海
2010/12/21,4950,上海
2010/12/22,4950,上海
2010/12/23,5000,上海
2010/12/24,5000,上海
2010/12/27,5000,上海
2010/12/28,5000,上海
2010/12/29,5050,上海
2010/12/30,5050,上海
2010/12/31,5050,上海
2011/1/4,5050,上海
2011/1/5,5050,上海
2011/1/6,5050,上海
2011/1/7,5050,上海
2011/1/10,5050,上海
2011/1/11,5100,上海
2011/1/12,5100,上海
2011/1/13,5100,上海
2011/1/14,5150,上海
2011/1/17,5150,上海
2011/1/18,5150,上海
2011/1/19,5150,上海
2011/1/20,5150,上海
2011/1/21,5250,上海
2011/1/24,5250,上海
2011/1/25,5250,上海
